reviewerID,rating,AvgRating,AvgReviewPerDay,usefulCount,firstCount,reviewCount,reviewContentLength,PerCapWords,hasURL,similarity,filtered
0,5,0,0,5,0,2,138,0.0,0,0,0
1,5,0,0,2,268,543,22,4.545454545454546,0,0,0
2,5,0,0,0,834,1463,102,3.9215686274509802,0,0,0
3,4,0,0,0,43,158,135,0.0,0,0,0
4,3,0,0,0,133,725,146,0.0,0,0,0
5,4,0,0,1,86,478,139,0.0,0,0,0
6,4,0,0,1,24,461,60,0.0,0,0,1
7,3,0,0,4,1388,2530,162,0.0,0,0,0
8,4,0,0,2,754,1693,136,0.0,0,0,0
9,3,0,0,0,34,166,144,0.0,0,0,0
10,5,0,0,1,6,51,164,0.0,0,0,0
11,4,0,0,7,151,1011,133,0.7518796992481203,0,0,1
12,3,0,0,5,137,548,55,5.454545454545454,0,0,0
7,4,0,0,2,1388,2530,153,0.6535947712418301,0,0,0
13,5,0,0,1,45,306,68,0.0,0,0,0
