reviewerID,rating,AvgRating,AvgReviewPerDay,usefulCount,firstCount,reviewCount,reviewContentLength,PerCapWords,hasURL,similarity,filtered
0,5,3.75,1.090909091,5,0,2,138,0,0,0.187382019,0
1,5,4.129032258,1.107142857,2,268,543,21,0,0,0.235935114,0
2,5,3.677966102,1.035087719,0,834,1463,102,3.921568627,0,0.1790923,0
3,4,3.5,1,0,43,158,135,0,0,0.305539065,0
4,3,3.685714286,1.09375,0,133,725,141,0,0,0.156781159,0
5,4,3.615384615,1,1,86,478,132,0,0,0.299949189,0
6,4,3.4,1.086956522,1,24,461,60,0,0,0.45034154,1
7,3,3.879310345,1.126213592,4,1388,2530,162,0,0,0.23254119,0
8,4,3.985294118,1.014925373,2,754,1693,136,0,0,0.265251569,0
9,3,4,1,0,34,166,131,0,0,0.27823911,0
10,5,5,1,1,6,51,163,0,0,0.197434961,0
11,4,3.913043478,1,7,151,1011,133,0.751879699,0,0.185085884,1
12,3,3.92,1,5,137,548,55,5.454545455,0,0.160137806,0
7,4,3.879310345,1.126213592,2,1388,2530,153,0.653594771,0,0.184449348,0
13,5,3.2,1,1,45,306,68,0,0,0.250562601,0
14,3,3.764705882,1.133333333,0,14,396,153,0,0,0.294033353,0
15,5,4.8,1,1,7,71,126,0.793650794,0,0.191596929,0
16,2,3.923076923,1,1,23,184,140,0,0,0.337600323,0
17,3,4,1,1,12,61,7,0,0,0.336275976,0
18,3,3.709090909,1.25,0,278,1167,79,0,0,0.236731788,0
19,5,4,1,0,7,112,59,0,0,0.181038817,0
20,4,3,1,2,4,61,157,0,0,0.268358967,0
21,5,3.692307692,1,7,270,932,106,0.943396226,0,0.168261099,0
22,5,4.333333333,1.411764706,0,94,321,45,0,0,0.309011472,0
23,1,2.6,1,0,5,46,98,1.020408163,0,0.223958716,0
24,4,2.913043478,1.210526316,0,25,152,27,0,0,0.270249635,1
25,4,3.529411765,1.0625,3,90,451,147,1.360544218,0,0.284652508,0
26,3,3.5,1.272727273,0,106,1032,77,0,0,0.274767238,0
27,3,3.5,1,12,92,173,138,0.724637681,0,0.150857825,0
28,5,3.941176471,1.545454545,0,10,108,7,0,0,0.363828204,1
29,4,3.977272727,1.1,1,316,1146,113,0,0,0.195682594,0
30,3,4.105263158,1.357142857,0,157,316,84,0,0,0.182543928,0
31,3,3.733333333,1,4,63,353,153,1.960784314,0,0.161625378,0
32,5,3.157894737,1.055555556,0,43,260,25,0,0,0.222356105,0
33,2,2,1.333333333,0,46,94,67,1.492537313,0,0.205292779,0
34,5,3.076923077,1.083333333,0,30,219,85,4.705882353,0,0.203590456,1
35,5,4.388888889,2,0,13,177,56,1.785714286,0,0.212098358,0
36,5,3.5,1.142857143,0,29,142,119,0,0,0.207457802,0
2,5,3.677966102,1.035087719,1,834,1463,67,1.492537313,0,0.233718135,0
37,4,3.5,1.2,2,2,65,117,1.709401709,0,0.209168199,0
38,4,3.96,1.086956522,4,192,523,149,0,0,0.323156148,0
39,2,1.75,1,1,1,20,111,1.801801802,0,0.182652693,1
40,3,3.952380952,1.05,0,23,494,82,3.658536585,0,0.121528235,0
41,2,3.888888889,1.125,6,7,107,149,1.342281879,0,0.294690157,0
42,4,3.85,1,2,68,478,59,0,0,0.367594813,0
43,4,3.875,1.6,0,154,678,49,0,0,0.430440465,0
44,4,4.428571429,1.105263158,1,158,567,81,1.234567901,0,0.180998428,0
6,3,3.4,1.086956522,0,24,461,83,0,0,0.1729575,0
45,5,4.25,1.037037037,0,57,436,74,1.351351351,0,0.344543447,0
